datetime,open,high,low,close,volume
2023-12-14 18:17:%00,16557.75,16557.75,16552.50,16554.00,24
2023-12-14 18:18:%00,16554.00,16555.75,16553.75,16554.50,31
2023-12-14 18:19:%00,16554.00,16554.50,16553.25,16553.50,10
2023-12-14 18:20:%00,16554.00,16556.25,16554.00,16554.75,9
2023-12-14 18:21:%00,16554.50,16555.00,16552.50,16552.50,6
2023-12-14 18:22:%00,16552.50,16552.50,16548.50,16551.25,21
2023-12-14 18:23:%00,16551.75,16552.00,16551.00,16551.00,4
2023-12-14 18:24:%00,16551.25,16555.25,16551.25,16554.00,6
2023-12-14 18:25:%00,16554.50,16555.50,16552.50,16552.75,12
2023-12-14 18:26:%00,16551.75,16552.25,16551.25,16552.25,5
2023-12-14 18:27:%00,16553.50,16553.50,16553.00,16553.25,3
2023-12-14 18:28:%00,16553.00,16553.25,16551.00,16551.00,4
2023-12-14 18:29:%00,16551.00,16551.00,16549.25,16549.25,9
2023-12-14 18:30:%00,16549.75,16550.00,16549.50,16550.00,3
2023-12-14 18:31:%00,16547.25,16552.50,16547.00,16552.25,10
2023-12-14 18:32:%00,16551.25,16551.25,16551.25,16551.25,1
2023-12-14 18:33:%00,16552.00,16553.50,16551.50,16551.50,5
2023-12-14 18:34:%00,16549.75,16550.50,16549.75,16550.50,4
2023-12-14 18:35:%00,16550.00,16550.00,16547.25,16547.50,6
2023-12-14 18:36:%00,16550.00,16550.25,16547.50,16547.50,4
2023-12-14 18:37:%00,16547.50,16548.25,16547.00,16548.25,5
2023-12-14 18:38:%00,16549.75,16551.25,16549.50,16551.00,4
2023-12-14 18:39:%00,16549.50,16551.00,16549.50,16551.00,3
2023-12-14 18:40:%00,16553.25,16553.75,16553.25,16553.75,2
2023-12-14 18:41:%00,16554.75,16556.00,16553.50,16553.50,5
2023-12-14 18:42:%00,16554.50,16554.75,16553.25,16554.00,5
2023-12-14 18:43:%00,16554.00,16555.50,16554.00,16555.00,4
2023-12-14 18:44:%00,16554.75,16554.75,16550.50,16551.25,7
2023-12-14 18:45:%00,16551.75,16551.75,16549.75,16550.75,5
2023-12-14 18:46:%00,16549.00,16549.00,16549.00,16549.00,1
2023-12-14 18:47:%00,16549.75,16550.00,16547.50,16548.00,6
2023-12-14 18:48:%00,16548.00,16548.50,16545.00,16546.50,17
2023-12-14 18:49:%00,16546.50,16547.25,16545.50,16546.50,10
2023-12-14 18:50:%00,16546.75,16550.25,16546.75,16550.00,9
2023-12-14 18:51:%00,16549.25,16549.25,16546.50,16546.50,6
2023-12-14 18:52:%00,16547.25,16547.75,16546.00,16546.00,8
2023-12-14 18:53:%00,16546.50,16549.00,16546.00,16547.50,17
2023-12-14 18:54:%00,16547.25,16548.50,16546.25,16546.25,6
2023-12-14 18:55:%00,16546.25,16547.25,16546.00,16547.25,6
2023-12-14 18:56:%00,16550.00,16551.75,16550.00,16551.50,8
2023-12-14 18:57:%00,16551.75,16551.75,16550.50,16551.25,7
2023-12-14 18:58:%00,16550.00,16550.00,16547.00,16547.25,7
2023-12-14 18:59:%00,16547.25,16548.75,16546.50,16548.75,12
2023-12-14 19:00:%00,16549.25,16551.75,16547.75,16547.75,7
2023-12-14 19:01:%00,16550.25,16550.25,16543.00,16544.00,19
2023-12-14 19:02:%00,16544.75,16546.75,16544.50,16544.50,11
2023-12-14 19:03:%00,16544.75,16546.00,16544.75,16546.00,7
2023-12-14 19:04:%00,16545.00,16546.25,16545.00,16546.00,3
2023-12-14 19:05:%00,16545.00,16546.50,16541.00,16542.25,13
2023-12-14 19:06:%00,16543.00,16543.75,16538.00,16540.50,31
2023-12-14 19:07:%00,16539.00,16541.50,16537.50,16540.50,19
2023-12-14 19:08:%00,16538.25,16540.75,16538.25,16539.75,10
2023-12-14 19:09:%00,16540.25,16541.00,16539.25,16539.25,11
2023-12-14 19:10:%00,16538.50,16540.50,16536.00,16540.50,25
2023-12-14 19:11:%00,16542.00,16549.25,16542.00,16547.00,28
2023-12-14 19:12:%00,16548.25,16548.25,16545.00,16545.00,5
2023-12-14 19:13:%00,16545.25,16545.25,16542.25,16542.25,4
2023-12-14 19:14:%00,16543.50,16544.50,16542.25,16544.25,23
2023-12-14 19:15:%00,16544.50,16548.50,16543.00,16548.50,59
